0,0,I,2,2,5098
0,1,I,5,1,201
0,2,M,0,0,52
0,3,M,6,1,183
0,4,I,4,0,77
0,5,I,3,1,142
0,6,M,0,0,136
0,7,I,6,0,11
0,8,M,2,1,160
0,9,I,6,0,122
0,10,M,3,0,60
0,11,I,4,0,100
0,12,M,6,0,76
0,13,I,5,0,92
0,14,M,2,0,73
0,15,I,0,0,63
0,16,M,1,0,114
0,17,M,2,1,169
0,18,M,5,1,181
0,19,M,1,1,176
1,0,J,4,3,1789
1,1,R,0,0,56
1,2,R,1,0,134
1,3,J,4,0,21
1,4,J,5,1,195
1,5,J,0,2,212
1,6,R,1,0,121
1,7,R,7,1,142
1,8,R,5,1,137
1,9,J,4,0,99
1,10,R,1,0,39
1,11,R,4,1,136
1,12,R,2,0,143
1,13,R,7,1,137
1,14,J,2,0,63
1,15,R,6,0,75
1,16,R,2,1,151
1,17,J,6,0,128
1,18,J,5,2,182
1,19,J,2,1,170
2,0,I,2,5,3445
2,1,R,4,1,148
2,2,M,1,1,250
2,3,J,6,1,183
2,4,I,4,0,7
2,5,R,2,0,138
2,6,I,3,1,134
2,7,R,6,1,145
2,8,M,0,0,143
2,9,J,4,2,191
2,10,I,6,0,117
2,11,R,0,1,153
2,12,I,3,1,154
2,13,J,1,0,127
2,14,I,2,0,32
2,15,R,3,0,143
2,16,I,5,1,167
2,17,R,0,1,163
2,18,I,4,1,166
2,19,R,3,2,366
2,20,I,3,1,173
2,21,R,2,1,275
2,22,M,0,0,4
2,23,R,7,0,157
2,24,M,3,0,32
2,25,R,1,1,284
2,26,M,0,0,120
2,27,J,4,1,199
2,28,M,3,1,247
2,29,J,2,5,1532
2,30,I,2,0,452
2,31,R,6,0,230
2,32,I,6,0,293
2,33,J,7,8,2211
2,34,M,0,6,1151
2,35,R,1,0,262
2,36,I,3,0,158
2,37,J,2,3,1419
2,38,I,6,0,64
2,39,R,4,0,167
3,0,M,5,1,3808
3,1,J,3,2,1213
3,2,M,2,2,1289
3,3,R,0,0,363
3,4,M,5,1,1027
3,5,J,5,0,401
3,6,I,0,0,135
3,7,R,6,2,899
3,8,M,2,0,283
3,9,J,5,0,285
3,10,M,4,0,297
3,11,J,1,0,312
3,12,I,2,2,684
3,13,R,3,2,678
3,14,I,5,1,3774
3,15,J,6,0,463
3,16,I,4,0,84
3,17,J,1,0,215
3,18,I,3,1,1874
3,19,J,7,1,2005
3,20,M,5,2,923
3,21,R,1,0,164
3,22,I,3,0,3569
3,23,R,2,1,993
3,24,M,4,0,117
3,25,R,4,1,498
3,26,I,1,2,611
3,27,J,5,0,213
3,28,M,2,0,323
3,29,J,2,1,324
3,30,M,6,1,341
3,31,R,1,0,93
3,32,I,3,0,197
3,33,J,3,0,79
3,34,I,4,1,454
3,35,J,7,0,211
3,36,M,3,1,297
3,37,J,2,1,336
3,38,M,2,0,270
3,39,J,3,2,288
4,0,M,3,3,2589
4,1,M,1,1,295
4,2,I,3,1,255
4,3,I,2,1,251
4,4,M,5,0,56
4,5,M,2,0,160
4,6,M,6,1,163
4,7,I,4,1,263
4,8,M,1,0,68
4,9,M,0,1,271
4,10,M,6,0,164
4,11,M,0,1,152
4,12,I,2,1,290
4,13,M,6,0,8
4,14,M,4,0,147
4,15,I,3,1,168
4,16,I,2,2,295
4,17,I,1,2,321
4,18,I,4,1,300
4,19,I,1,2,313
5,0,M,4,3,1828
5,1,R,1,1,367
5,2,M,2,2,345
5,3,J,5,0,307
5,4,I,3,1,327
5,5,R,4,0,11
5,6,M,2,0,291
5,7,J,0,0,12
5,8,I,4,1,317
5,9,J,7,1,298
5,10,M,0,0,245
5,11,R,5,1,292
5,12,I,4,0,68
5,13,R,3,0,245
5,14,M,6,1,300
5,15,R,2,1,296
5,16,M,0,1,305
5,17,R,7,1,305
5,18,I,6,0,100
5,19,R,2,0,226
5,20,I,5,0,93
5,21,J,3,1,314
5,22,M,6,0,222
5,23,R,7,1,325
5,24,I,1,0,77
5,25,R,1,0,239
5,26,M,3,1,350
5,27,J,5,0,16
5,28,M,0,0,338
5,29,J,2,0,7
5,30,I,6,1,291
5,31,R,1,1,347
5,32,I,0,0,264
5,33,R,0,0,36
5,34,I,1,0,289
5,35,J,2,1,343
5,36,M,4,0,37
5,37,R,4,1,303
5,38,I,6,0,245
5,39,J,6,1,341
6,0,I,1,2,2032
6,1,R,0,0,40
6,2,I,5,1,292
6,3,R,6,0,25
6,4,M,2,0,153
6,5,J,2,0,110
6,6,I,1,2,324
6,7,J,6,2,281
6,8,I,0,2,317
6,9,R,2,0,35
6,10,I,6,1,291
6,11,R,1,0,156
6,12,I,0,0,154
6,13,R,5,0,20
6,14,M,3,0,143
6,15,R,1,1,154
6,16,M,2,0,162
6,17,J,6,1,173
6,18,M,5,0,123
6,19,R,0,0,169
6,20,I,1,0,12
6,21,J,7,1,311
6,22,M,6,0,116
6,23,R,1,0,112
6,24,M,4,1,167
6,25,J,3,1,236
6,26,M,2,0,68
6,27,R,2,0,157
6,28,M,0,1,153
6,29,R,4,0,159
6,30,I,1,0,83
6,31,R,0,0,84
6,32,M,6,0,159
6,33,J,5,0,52
6,34,I,1,2,280
6,35,J,4,2,346
6,36,I,0,1,325
6,37,R,0,0,202
6,38,M,3,1,289
6,39,R,3,1,234
