0,0,M,3,0,509
0,1,I,6,0,68
0,2,I,4,0,138
0,3,I,6,2,204
0,4,I,1,1,174
0,5,I,5,2,409
0,6,I,3,2,356
0,7,M,2,0,109
0,8,M,0,1,166
0,9,I,4,0,84
0,10,M,5,0,112
0,11,I,3,0,91
0,12,M,4,0,90
0,13,I,0,0,56
0,14,I,2,1,172
0,15,I,6,1,191
0,16,I,5,1,170
0,17,M,3,0,94
0,18,M,5,0,192
0,19,I,6,0,40
1,0,J,5,0,108
1,1,R,6,0,40
1,2,R,4,1,181
1,3,R,5,1,202
1,4,J,1,1,200
1,5,J,6,1,192
1,6,J,0,1,191
1,7,J,4,1,181
1,8,J,2,1,186
1,9,R,5,0,81
1,10,J,0,0,107
1,11,R,4,0,84
1,12,R,2,1,175
1,13,J,1,0,118
1,14,J,4,1,181
1,15,J,0,1,167
1,16,J,1,1,204
1,17,J,4,1,179
1,18,R,7,0,22
1,19,J,2,0,175
2,0,I,4,1,200
2,1,J,2,0,130
2,2,I,1,0,48
2,3,J,1,0,145
2,4,I,4,0,40
2,5,J,6,0,157
2,6,M,5,1,175
2,7,R,2,0,59
2,8,I,3,1,189
2,9,R,7,1,197
2,10,I,4,1,182
2,11,R,4,1,203
2,12,M,3,0,150
2,13,R,3,0,64
2,14,M,6,0,131
2,15,R,7,0,72
2,16,M,2,0,128
2,17,R,1,0,47
2,18,M,0,0,133
2,19,R,5,1,209
2,20,I,1,1,177
2,21,R,1,1,177
2,22,I,0,1,186
2,23,R,7,1,179
2,24,I,5,1,193
2,25,J,2,0,162
2,26,M,6,1,178
2,27,R,1,0,56
2,28,I,0,1,204
2,29,R,0,1,221
2,30,I,2,1,192
2,31,R,7,1,197
2,32,I,5,1,190
2,33,R,1,1,194
2,34,I,1,1,186
2,35,J,5,0,150
2,36,M,4,2,210
2,37,R,0,0,149
2,38,I,6,1,176
2,39,J,6,0,69
3,0,M,5,0,104
3,1,R,6,0,36
3,2,M,4,1,245
3,3,J,5,1,179
3,4,I,6,0,128
3,5,J,1,0,84
3,6,M,0,1,178
3,7,R,2,0,110
3,8,I,3,1,184
3,9,J,5,0,114
3,10,I,6,0,84
3,11,R,7,1,181
3,12,M,1,0,127
3,13,R,2,0,48
3,14,I,0,1,171
3,15,J,3,0,143
3,16,I,1,0,56
3,17,R,6,1,194
3,18,M,6,0,126
3,19,J,1,2,232
3,20,I,0,0,139
3,21,J,4,0,61
3,22,I,2,0,117
3,23,R,2,1,194
3,24,I,6,1,189
3,25,J,3,0,92
3,26,M,3,1,192
3,27,R,0,0,80
3,28,M,6,0,116
3,29,J,7,1,192
3,30,M,5,1,192
3,31,R,3,1,235
3,32,I,1,1,199
3,33,J,1,0,156
3,34,M,6,2,193
3,35,J,3,1,199
3,36,M,2,1,196
3,37,R,4,0,139
3,38,M,3,0,64
3,39,R,2,0,112
4,0,M,2,1,158
4,1,I,4,0,221
4,2,M,5,0,140
4,3,I,0,0,76
4,4,M,2,0,118
4,5,I,6,0,88
4,6,I,5,1,191
4,7,M,4,0,84
4,8,I,0,0,114
4,9,I,6,1,205
4,10,M,0,0,39
4,11,I,3,0,157
4,12,I,1,1,189
4,13,M,4,0,22
4,14,I,2,0,176
4,15,M,1,0,7
4,16,M,3,0,166
4,17,M,1,1,216
4,18,I,0,0,92
4,19,M,3,0,89
5,0,M,4,1,187
5,1,R,3,1,171
5,2,I,1,0,182
5,3,R,1,0,81
5,4,I,2,0,124
5,5,R,6,0,9
5,6,M,4,0,176
5,7,R,2,1,213
5,8,I,3,0,3
5,9,J,0,0,189
5,10,M,4,0,3
5,11,R,7,0,170
5,12,I,3,0,35
5,13,J,0,1,180
5,14,I,6,1,214
5,15,J,5,0,186
5,16,I,4,1,212
5,17,R,2,0,156
5,18,I,5,0,71
5,19,R,3,0,113
5,20,M,3,1,179
5,21,R,0,1,206
5,22,M,2,1,184
5,23,J,4,0,106
5,24,I,6,1,229
5,25,R,7,0,51
5,26,I,4,0,143
5,27,J,4,1,203
5,28,I,0,1,187
5,29,R,6,0,28
5,30,M,4,1,209
5,31,J,0,0,167
5,32,M,5,0,23
5,33,J,6,0,145
5,34,M,1,0,71
5,35,R,7,1,183
5,36,I,0,0,148
5,37,J,5,1,204
5,38,I,3,1,201
5,39,J,3,1,216
6,0,I,5,0,107
6,1,R,5,0,48
6,2,I,1,1,236
6,3,R,1,0,146
6,4,I,6,0,84
6,5,J,7,1,216
6,6,I,3,1,193
6,7,R,5,0,99
6,8,I,5,0,112
6,9,R,4,0,87
6,10,M,4,1,210
6,11,J,6,0,128
6,12,I,6,1,214
6,13,R,7,0,85
6,14,M,4,1,203
6,15,R,0,1,193
6,16,M,1,1,200
6,17,J,4,0,129
6,18,I,2,1,197
6,19,J,5,1,207
6,20,M,5,0,45
6,21,R,0,1,213
6,22,M,3,1,229
6,23,J,1,0,154
6,24,I,6,1,212
6,25,R,7,0,53
6,26,I,5,0,140
6,27,J,5,1,216
6,28,M,0,0,77
6,29,J,4,0,133
6,30,I,4,1,187
6,31,J,3,1,197
6,32,M,2,0,56
6,33,J,7,0,144
6,34,M,1,0,48
6,35,J,1,0,152
6,36,M,5,0,43
6,37,R,3,1,242
6,38,I,1,0,124
6,39,R,7,0,56
